102.19,155.01,-284.53,0.13947,0.17191,-0.54988
186.67,90.417,-263.79,0.30776,0.04215,-0.50122
260.22,18.466,-229.89,0.44766,-0.099775,-0.43431
306.1,-70.941,-184.69,0.53686,-0.28428,-0.34105
302.02,-174.93,-119.3,0.52064,-0.48906,-0.20926
263.43,-260.56,-38.835,0.44157,-0.66748,-0.053144
209.95,-305.38,49.936,0.32803,-0.75871,0.12528
141.73,-302.08,144.86,0.18407,-0.75263,0.3037
64.208,-261.67,224.17,0.021875,-0.68369,0.45171
-16.164,-209.13,271.57,-0.14438,-0.58435,0.53686
-101.09,-155.58,281.66,-0.31672,-0.47689,0.55106
-188.12,-94.862,261.02,-0.48702,-0.35727,0.50645
-263.72,-23.69,227.43,-0.63909,-0.21129,0.43954
-310.86,68.384,183.27,-0.73033,-0.026781,0.34628
-307.13,174.82,117.48,-0.71411,0.18813,0.21652
-266.01,260.27,34.885,-0.63098,0.3625,0.050263
-211.4,303.67,-54.334,-0.51541,0.44968,-0.12411
-143.06,300.11,-148.53,-0.36741,0.44968,-0.30253
-64.218,259.56,-227.37,-0.20115,0.37466,-0.45053
16.674,207.33,-274.22,-0.034894,0.27531,-0.53569
101.01,153.17,-284.88,0.13339,0.16989,-0.54988
187.47,89.592,-264.6,0.30573,0.04215,-0.5073
261.97,15.989,-231.1,0.45576,-0.10586,-0.43837
309.03,-75.093,-186.79,0.54294,-0.29036,-0.34713
306.13,-179.17,-117.72,0.53281,-0.49919,-0.20926
265.6,-261.95,-31.545,0.4436,-0.66951,-0.036919
211.58,-304.32,56.494,0.326,-0.75466,0.13542
141.51,-301.37,147.36,0.18407,-0.75466,0.30978
58.334,-261.08,222.38,0.0097125,-0.67964,0.44968
-24.397,-211.33,267.49,-0.1606,-0.58637,0.52876
-109.65,-157.8,282.58,-0.33294,-0.48297,0.55308
-193.64,-87.809,261.66,-0.49919,-0.34105,0.50645
-263.13,-13.192,226.49,-0.63504,-0.19101,0.43549
-308.38,75.201,182.28,-0.72019,-0.0207,0.34425
-301.85,177.16,112.78,-0.70397,0.19421,0.20435
-259.85,257.48,29.577,-0.61476,0.35642,0.040125
-209.65,299.66,-57.566,-0.50933,0.4436,-0.12816
-142.18,296.13,-151.27,-0.36538,0.43954,-0.30861
-60.208,256.8,-229.52,-0.19101,0.37264,-0.45661
22.949,206.93,-276.04,-0.024756,0.27531,-0.53771
107.78,151.16,-283.8,0.14758,0.1638,-0.54785
192.42,84.944,-260.87,0.31789,0.032012,-0.50122
264.26,12.05,-226.43,0.45779,-0.11397,-0.4262
307.57,-77.405,-181.11,0.53889,-0.29644,-0.33496
300.47,-181.49,-114.28,0.52064,-0.5073,-0.19709
259.3,-265.28,-32.701,0.43143,-0.67559,-0.03895
205.59,-306.63,55.999,0.31992,-0.75669,0.13339
137.17,-300.15,150.57,0.17394,-0.75061,0.31586
58.948,-258.01,228.23,0.0097125,-0.67559,0.45779
-21.024,-206.12,273.1,-0.15249,-0.57826,0.54294
-106.47,-152.23,281.05,-0.32888,-0.47284,0.55106
-193.82,-89.578,258.38,-0.49716,-0.34713,0.50037
-267.66,-17.202,224.15,-0.64314,-0.19912,0.43143
-312.25,74.848,179.8,-0.7283,-0.0207,0.34019
-305.57,181.24,112.43,-0.71208,0.20435,0.20435
-262.1,264.68,28.964,-0.61881,0.36858,0.040125
-207.27,304.83,-59.996,-0.50122,0.45374,-0.13424
-138.43,298.08,-154.24,-0.35727,0.4436,-0.31469
-58.816,255.95,-231.19,-0.19507,0.36656,-0.45459
21.156,204.69,-275.85,-0.024756,0.27126,-0.53569
106.1,149.84,-284.34,0.14556,0.16178,-0.54988
192.8,84.26,-262,0.31789,0.032012,-0.50325
265.67,9.8087,-227.84,0.46184,-0.12005,-0.43229
310.35,-81.298,-183.35,0.54497,-0.30455,-0.33902
304.57,-185.36,-112.34,0.52876,-0.51541,-0.19507
261.94,-266.01,-25.813,0.43549,-0.67761,-0.026781
207.94,-305.53,61.613,0.32195,-0.75871,0.14556
136.73,-299.44,152.67,0.17191,-0.75061,0.31586
53.003,-257.64,225.8,-0.000425,-0.67356,0.45171
-28.431,-209.13,269.16,-0.16871,-0.58232,0.53281
-114.56,-154.29,282.28,-0.34308,-0.47689,0.55308
-198.52,-82.265,258.88,-0.50933,-0.33091,0.50239
-266.48,-7.436,223.35,-0.64314,-0.18088,0.42941
-309.56,81.099,178.93,-0.72424,0.0016,0.33817
-300.01,182.94,107.57,-0.69789,0.20638,0.19421
-256.43,261.45,24.199,-0.60665,0.3625,0.029988
-206.35,300.89,-62.567,-0.50122,0.44562,-0.13829
-137.73,294.19,-156.65,-0.35321,0.43549,-0.31874
-55.159,253.52,-233.13,-0.18493,0.3625,-0.46067
26.817,204.81,-277.45,-0.014619,0.27126,-0.54177
112.52,147.81,-283.21,0.15569,0.15772,-0.5438
197.42,79.802,-258.37,0.32803,0.021875,-0.49514
267.51,6.3881,-223.43,0.46184,-0.14235,-0.42012
308.37,-83.279,-177.83,0.53889,-0.30658,-0.32888
298.72,-187.38,-109.28,0.51659,-0.51947,-0.18493
256,-269.05,-27.511,0.42738,-0.68167,-0.028813
202.31,-307.67,60.811,0.31181,-0.76277,0.14352
132.81,-298.14,155.9,0.16583,-0.74857,0.32398
54.253,-254.69,231.75,-0.000425,-0.66748,0.4659
-24.799,-204.02,274.42,-0.16263,-0.57218,0.54092
-111.19,-149.17,280.51,-0.33699,-0.4627,0.547
-198.66,-84.907,256.07,-0.50933,-0.33699,0.50037
-270.89,-11.753,221.49,-0.65126,-0.18898,0.42738
-313.1,80.91,176.4,-0.73033,-0.0024563,0.33411
-303.73,187.11,107.21,-0.70803,0.21246,0.19624
-258.89,268.29,23.939,-0.61071,0.37669,0.029988
-204.06,305.85,-64.596,-0.49919,0.45374,-0.14438
-133.93,295.98,-159.52,-0.3451,0.44157,-0.32482
-54.192,252.7,-234.45,-0.18088,0.36047,-0.4627
24.859,202.64,-277.1,-0.0207,0.26721,-0.53974
110.71,146.7,-283.78,0.15569,0.15366,-0.54583
197.28,79.66,-259.85,0.32398,0.032012,-0.49716
268.57,4.7603,-225.36,0.46387,-0.12816,-0.4262
311.08,-87.077,-179.88,0.54294,-0.31469,-0.33294
302.71,-190.88,-107.03,0.5247,-0.52555,-0.18493
258.95,-269.46,-20.859,0.42738,-0.68572,-0.014619
204.83,-306.56,66.001,0.31789,-0.76074,0.15366
131.94,-297.34,157.67,0.16178,-0.74857,0.33006
48.544,-254.59,228.66,-0.0085375,-0.66748,0.46184
-31.852,-207.27,270.53,-0.17479,-0.58029,0.53686
-119.04,-150.96,281.9,-0.35119,-0.46878,0.55106
-202.6,-77.736,256.68,-0.51947,-0.3228,0.49631
-269.22,-2.9065,221.08,-0.64923,-0.17276,0.42535
-310.1,86.69,175.39,-0.72628,0.011738,0.33006
-297.98,187.96,102.52,-0.69586,0.21449,0.18407
-253.65,264.51,19.811,-0.60259,0.36656,0.023906
-203.45,301.83,-66.884,-0.49716,0.44766,-0.14641
-133.22,292.12,-161.6,-0.3451,0.43143,-0.32686
-51.078,250.83,-236.03,-0.17682,0.36047,-0.46473
30.167,202.75,-278.61,-0.0085375,0.26721,-0.54177
116.79,144.63,-282.52,0.16786,0.15366,-0.5438
201.43,75.72,-256.34,0.33411,0.015794,-0.48906
270.15,2.1889,-221.45,0.46793,-0.13627,-0.41809
308.72,-88.941,-174.27,0.54092,-0.31874,-0.32078
296.93,-192.41,-104.53,0.51253,-0.52555,-0.18088
253.55,-272.03,-23.407,0.42129,-0.68978,-0.0207
199.38,-308.47,65.081,0.30776,-0.76277,0.15164
128.42,-295.95,160.76,0.15366,-0.74249,0.33209
50.738,-252.14,234.46,-0.0065062,-0.66342,0.47198
-28.007,-202.18,275.6,-0.16871,-0.56812,0.54294
-115.5,-146.24,279.73,-0.34713,-0.45661,0.54497
-202.6,-81.321,254.35,-0.51541,-0.32888,0.49631
-273.47,-7.6719,219.83,-0.65734,-0.17884,0.42129
-313.48,86.643,172.98,-0.73236,0.011738,0.32803
-301.96,191.97,102.71,-0.70397,0.2226,0.18205
-256.67,271,20.212,-0.60867,0.38277,0.021875
-201.26,306.67,-68.748,-0.49108,0.45576,-0.15046
-129.61,293.91,-164.22,-0.33699,0.43752,-0.33496
-50.984,250.31,-237.18,-0.17479,0.35439,-0.46878
28.044,200.89,-278.28,-0.012594,0.26517,-0.54177
114.86,143.68,-283.19,0.1638,0.15164,-0.5438
200.96,76.051,-258.27,0.33411,0.017825,-0.49311
271.14,0.98587,-223.86,0.47198,-0.13627,-0.42215
311.58,-92.574,-176.39,0.54903,-0.32686,-0.32482
301.03,-195.52,-102.48,0.51862,-0.53163,-0.17682
256.97,-272.07,-17.438,0.42941,-0.69181,-0.010563
202.02,-307.39,70.059,0.31181,-0.76074,0.15975
127.5,-295.36,162.08,0.15164,-0.74249,0.33411
45.477,-252.61,231.09,-0.014619,-0.66342,0.46184
-35.037,-205.6,271.9,-0.18493,-0.57624,0.53889
-123.15,-147.68,281.43,-0.35929,-0.46067,0.55106
-206,-74.126,255.1,-0.52555,-0.31672,0.49226
-271.58,0.63201,219.53,-0.65328,-0.16263,0.42333
-310.27,92.069,171.78,-0.72424,0.021875,0.32195
-296.16,192.28,98.178,-0.69181,0.2226,0.17597
-252.14,267.09,16.579,-0.59854,0.37264,0.017825
-200.76,302.71,-71.083,-0.49108,0.44766,-0.15654
-128.95,290.32,-165.96,-0.33699,0.42941,-0.33496
-48.247,249.04,-238.53,-0.16871,0.35642,-0.47081
33.281,200.89,-279.72,-0.0024563,0.26315,-0.54583
120.87,141.35,-281.72,0.17394,0.14556,-0.5438
204.88,72.441,-254.97,0.34425,0.013769,-0.48906
272.58,-1.4676,-219.96,0.47401,-0.14033,-0.41606
308.79,-94.414,-170.73,0.53889,-0.33091,-0.31266
295.28,-196.84,-100.48,0.50848,-0.53366,-0.17276
251.85,-274.6,-20.222,0.41927,-0.69181,-0.014619
196.6,-309.3,69.233,0.30167,-0.76682,0.15975
124.48,-294.13,165.13,0.14758,-0.74047,0.34223
47.978,-250.28,237.1,-0.010563,-0.65937,0.47604
-31.357,-200.17,276.76,-0.17479,-0.5661,0.547
-119.63,-143.27,279.05,-0.35321,-0.45459,0.54497
-206.07,-78.443,253.24,-0.52555,-0.3228,0.49226
